Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Rolando Ferreira,C,24,POR,12,0,2.8,0.1,1.5,0.1,0,0,,0.1,1.5,0.1,0.1,0.6,0.7,0.9,0.3,0.8,1.1,0.1,0,0.1,0.5,0.6,0.8,1989,0.476,0
Duane Ferrell,SF,23,ATL,41,0,5.6,0.9,2,0.4,0,0,,0.9,2,0.4,0.4,0.7,1.1,0.7,0.5,0.5,1,0.2,0.2,0.1,0.3,0.8,2.4,1989,0.634,0
Anthony Frederick,SF,24,IND,46,0,6.8,1.4,2.7,0.5,0,0.1,0.4,1.3,2.6,0.5,0.5,0.5,0.7,0.7,0.6,0.6,1.1,0.4,0.3,0.1,0.7,1.3,3.3,1989,0.341,0
Corey Gaines,SG,23,NJN,32,0,10.5,0.8,2,0.4,0,0.2,0.2,0.8,1.8,0.4,0.4,0.4,0.5,0.8,0.1,0.5,0.6,2.1,0.5,0,0.6,0.8,2.1,1989,0.317,0
Tom Garrick,SG,22,LAC,71,20,21.1,2.5,5.1,0.5,0,0.2,0,2.5,4.9,0.5,0.5,1.4,1.8,0.8,0.5,1.7,2.2,3.4,1.1,0.1,1.6,2,6.4,1989,0.256,0
Ben Gillery,C,23,SAC,24,0,3.5,0.2,0.8,0.3,0,0,,0.2,0.8,0.3,0.3,0.5,1,0.6,0.3,0.7,1,0.1,0.1,0.2,0.2,1.2,1,1989,0.329,0
Orlando Graham,PF,23,GSW,7,0,3.1,0.4,1.4,0.3,0,0,,0.4,1.4,0.3,0.3,0.3,0.6,0.5,1.1,0.4,1.6,0,0,0,0.3,0.9,1.1,1989,0.524,0
Ron Grandison,PF,24,BOS,72,0,7.3,0.8,2,0.4,0,0.1,0,0.8,1.8,0.4,0.4,0.8,1.1,0.7,0.7,0.6,1.3,0.6,0.2,0,0.5,1,2.5,1989,0.512,0
Gary Grant,PG,23,LAC,71,48,27.1,5.1,11.7,0.4,0.1,0.3,0.2,5,11.4,0.4,0.4,1.7,2.3,0.7,1.1,2.2,3.4,7.1,2,0.1,3.6,2.4,11.9,1989,0.256,0
Harvey Grant,PF,23,WSB,71,1,16.8,2.5,5.5,0.5,0,0,0,2.5,5.5,0.5,0.5,0.5,0.8,0.6,1.1,1.2,2.3,1.1,0.5,0.4,0.4,2.1,5.6,1989,0.488,0
Sylvester Gray,SF,21,MIA,55,15,22.2,3,7.2,0.4,0,0.1,0.2,3,7.2,0.4,0.4,1.9,2.8,0.7,2.1,3.1,5.2,2.1,0.7,0.5,1.9,2.6,8,1989,0.183,0
Jeff Grayer,SG,23,MIL,11,2,18.2,2.9,6.6,0.4,0,0.2,0,2.9,6.5,0.5,0.4,1.5,1.8,0.8,1.3,1.9,3.2,2,0.9,0.1,1.7,1.4,7.4,1989,0.598,0
Jack Haley,PF,25,CHI,51,1,5.7,0.7,1.5,0.5,0,0,,0.7,1.5,0.5,0.5,0.7,0.9,0.8,0.4,1,1.4,0.2,0.2,0,0.5,1.1,2.2,1989,0.573,0
Hersey Hawkins,SG,22,PHI,79,79,32.6,5.6,12.3,0.5,0.9,2.1,0.4,4.7,10.2,0.5,0.5,3.1,3.7,0.8,0.6,2.2,2.8,3,1.5,0.5,2,2.3,15.1,1989,0.561,0
Tito Horford,C,23,MIL,25,0,4.5,0.6,1.8,0.3,0,0,,0.6,1.8,0.3,0.3,0.5,0.8,0.6,0.4,0.5,0.9,0.1,0,0.3,0.6,0.6,1.7,1989,0.598,0
Avery Johnson,PG,23,SEA,43,0,6.8,0.7,1.9,0.3,0,0.2,0.1,0.7,1.7,0.4,0.4,0.2,0.4,0.6,0.3,0.3,0.6,1.7,0.5,0.1,0.4,0.8,1.6,1989,0.573,0
Bill Jones,PF,22,NJN,37,0,8.3,1.4,2.8,0.5,0,0,0,1.4,2.7,0.5,0.5,0.8,1.2,0.7,0.5,0.7,1.3,0.5,0.5,0.2,0.5,1,3.5,1989,0.317,0
Shelton Jones,SF,22,PHI,42,34,13.7,1.9,4.3,0.5,0,0,0,1.9,4.2,0.5,0.5,1.2,1.6,0.7,0.6,1.7,2.3,0.8,0.4,0.3,0.9,1.2,5,1989,0.561,0
Steve Kerr,PG,23,PHO,26,0,6,0.8,1.8,0.4,0.3,0.7,0.5,0.5,1.1,0.4,0.5,0.2,0.3,0.7,0.1,0.5,0.7,0.9,0.3,0,0.2,0.5,2.1,1989,0.671,0
Randolph Keys,SF,22,CLE,42,0,7.9,1.8,4.1,0.4,0,0.2,0.1,1.7,3.9,0.5,0.4,0.5,0.7,0.7,0.5,0.8,1.3,0.5,0.3,0.1,0.5,1.2,4,1989,0.695,0
Jerome Lane,PF,22,DEN,54,1,10.2,2,4.7,0.4,0,0.1,0,2,4.6,0.4,0.4,0.8,2.1,0.4,1.6,2.1,3.7,1.1,0.4,0.1,0.9,1.9,4.8,1989,0.537,0
