Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Win%,RotY_Votes
Stephon Marbury,PG,19,MIN,67,64,34.7,5.3,13,0.4,1.5,4.3,0.4,3.8,8.7,0.4,0.5,3.7,5,0.7,0.8,1.9,2.7,7.8,1,0.3,3.1,2.4,15.8,1997,0.488,0.3043
Walter McCarty,PF,22,NYK,35,0,5.5,0.7,1.9,0.4,0.1,0.4,0.3,0.6,1.5,0.4,0.4,0.2,0.4,0.6,0.2,0.4,0.7,0.4,0.2,0.3,0.5,1.1,1.8,1997,0.695,0
Amal McCaskill,C,23,ORL,17,1,6.4,0.6,1.9,0.3,0,0.1,0,0.6,1.8,0.3,0.3,0.5,0.7,0.7,0.2,1.1,1.3,0.4,0.2,0.3,0.6,0.4,1.6,1997,0.549,0
Jeff McInnis,PG,22,DEN,13,0,9,1.8,3.8,0.5,0.9,2,0.5,0.8,1.8,0.5,0.6,0.5,0.8,0.7,0.2,0.3,0.5,1.4,0.2,0.1,1,1.2,5,1997,0.256,0
Martin Muursepp,PF,22,DAL,32,0,10,1.5,3.7,0.4,0.1,0.6,0.2,1.4,3,0.5,0.4,1.2,1.8,0.7,1,0.9,1.9,0.5,0.4,0.3,0.5,1.7,4.3,1997,0.293,0
Steve Nash,PG,22,PHO,65,2,10.5,1.1,2.7,0.4,0.4,0.8,0.4,0.8,1.8,0.4,0.5,0.6,0.8,0.8,0.2,0.7,1,2.1,0.3,0,1,1.4,3.3,1997,0.488,0
Ruben Nembhard,PG,24,POR,2,0,9.5,2,4,0.5,0,1,0,2,3,0.7,0.5,0,0,,0,0,0,2.5,1.5,0,2.5,1.5,4,1997,0.598,0
Gaylon Nickerson,SG,27,WSB,1,0,6,1,3,0.3,0,1,0,1,2,0.5,0.3,0,0,,0,1,1,0,1,0,1,0,2,1997,0.537,0
Moochie Norris,PG,23,VAN,8,0,11.1,0.5,2.8,0.2,0.2,1.2,0.2,0.2,1.5,0.2,0.2,0.2,0.6,0.4,0.4,1.1,1.5,2.9,0.5,0,0.6,0.6,1.5,1997,0.171,0
Jermaine O'Neal,PF,18,POR,45,0,10.2,1.5,3.4,0.5,0,0,0,1.5,3.4,0.5,0.5,1,1.7,0.6,0.9,1.9,2.8,0.2,0,0.6,0.6,1,4.1,1997,0.598,0
Ray Owes,PF,24,GSW,57,1,10.4,1.3,3.2,0.4,0,0.1,0.2,1.3,3.1,0.4,0.4,0.5,0.8,0.6,1.1,1.7,2.9,0.3,0.3,0.4,0.4,1.5,3.1,1997,0.366,0
Vitaly Potapenko,C,21,CLE,80,3,15.5,2.3,5.3,0.4,0,0,0.5,2.3,5.3,0.4,0.4,1.2,1.6,0.7,1.3,1.4,2.7,0.5,0.3,0.4,1.4,2.7,5.8,1997,0.512,0
Chris Robinson,SG,22,VAN,41,6,16.6,1.7,4.4,0.4,0.8,2.2,0.4,0.9,2.3,0.4,0.5,0.4,0.6,0.6,0.6,1.2,1.7,1.6,0.7,0.2,0.8,2.1,4.6,1997,0.171,0
Roy Rogers,PF,23,VAN,82,50,22.5,3,5.9,0.5,0,0,1,3,5.9,0.5,0.5,0.7,1.1,0.6,1.7,3,4.7,0.6,0.3,2,1,2.6,6.6,1997,0.171,0
Malik Rose,PF,22,CHH,54,1,9.7,1.1,2.4,0.5,0,0,0,1.1,2.3,0.5,0.5,0.7,1.1,0.6,1.3,1.7,3,0.6,0.5,0.3,0.8,2.1,3,1997,0.5,0
Kevin Salvadori,C,26,SAC,23,0,6.7,0.5,1.4,0.4,0,0,,0.5,1.4,0.4,0.4,0.6,0.8,0.7,0.3,0.8,1.1,0.4,0.1,0.6,0.5,0.7,1.6,1997,0.415,0
Jason Sasser,SF,23,DAL,2,0,3.5,0.5,2,0.2,0,0.5,0,0.5,1.5,0.3,0.2,0,0,,0.5,0,0.5,0.5,0.5,0,0,0,1,1997,0.293,0
Brent Scott,PF,25,IND,16,0,3.4,0.5,1.1,0.5,0,0,,0.5,1.1,0.5,0.5,0.2,0.4,0.5,0.2,0.4,0.6,0.2,0.1,0.1,0.2,0.9,1.2,1997,0.476,0
James Scott,SF,24,MIA,8,0,4,0,1,0,0,0.5,0,0,0.5,0,0,0.1,0.2,0.5,0.1,0.6,0.8,0.4,0.2,0,0.2,0.6,0.1,1997,0.744,0
Shawnelle Scott,C,24,CLE,16,0,3.1,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.2,0.7,0.4,0.5,0.5,1,0,0,0.2,0,0.4,1.2,1997,0.512,0
Stevin Smith,SG,25,DAL,8,0,7.5,0.8,2.2,0.3,0.1,0.8,0.2,0.6,1.5,0.4,0.4,0.1,0.1,1,0.2,1,1.2,0.5,0.1,0,0.5,1.1,1.8,1997,0.293,0
Matt Steigenga,SF,26,CHI,2,0,6,0.5,2,0.2,0,1,0,0.5,1,0.5,0.2,0.5,1,0.5,0,1.5,1.5,1,0.5,0.5,1,0.5,1.5,1997,0.841,0
Joe Stephens,PF,24,HOU,2,0,4.5,0.5,2.5,0.2,0.5,1.5,0.3,0,1,0,0.3,0,0,,1,0.5,1.5,0,1.5,0,1.5,1.5,1.5,1997,0.695,0
Erick Strickland,SG,23,DAL,28,15,27.1,3.6,9.1,0.4,1,3.3,0.3,2.6,5.9,0.5,0.5,2.3,2.9,0.8,0.8,2.5,3.2,2.4,1,0.2,2.4,2.7,10.6,1997,0.293,0
Brett Szabo,C,28,BOS,70,24,9.5,0.8,1.7,0.4,0,0,0,0.8,1.7,0.4,0.4,0.6,0.9,0.7,0.8,1.6,2.4,0.2,0.2,0.5,0.6,1.7,2.2,1997,0.183,0
Antoine Walker,PF,20,BOS,82,68,36.2,7,16.5,0.4,0.6,1.9,0.3,6.4,14.6,0.4,0.4,2.8,4.5,0.6,3.5,5.5,9,3.2,1.3,0.6,2.8,3.3,17.5,1997,0.183,0.0522
Samaki Walker,PF,20,DAL,43,12,14,1.9,4.3,0.4,0,0,0,1.9,4.3,0.4,0.4,1.1,1.7,0.6,1.1,2.3,3.4,0.4,0.3,0.5,0.9,1.7,5,1997,0.293,0
Ben Wallace,PF,22,WSB,34,0,5.8,0.5,1.4,0.3,0,0,,0.5,1.4,0.3,0.3,0.2,0.6,0.3,0.7,1,1.7,0.1,0.2,0.3,0.5,0.8,1.1,1997,0.537,0
John Wallace,SF,22,NYK,68,6,11.6,1.8,3.5,0.5,0,0.1,0.5,1.8,3.4,0.5,0.5,1.2,1.6,0.7,0.8,1.5,2.3,0.5,0.3,0.4,1.1,1.5,4.8,1997,0.695,0
Donald Whiteside,PG,27,TOR,27,1,9.6,0.7,2,0.3,0.4,1.3,0.3,0.2,0.7,0.3,0.4,0.4,0.6,0.7,0.1,0.4,0.4,1.3,0.4,0,0.6,0.9,2.2,1997,0.366,0
Jerome Williams,PF,23,DET,33,0,5.4,0.6,1.5,0.4,0,0,,0.6,1.5,0.4,0.4,0.3,0.5,0.5,0.7,0.8,1.5,0.2,0.4,0,0.4,0.5,1.5,1997,0.659,0
Lorenzen Wright,C,21,LAC,77,51,25.1,3.1,6.4,0.5,0,0.1,0.2,3.1,6.3,0.5,0.5,1.1,1.9,0.6,2.7,3.4,6.1,0.6,0.6,0.8,1,2.7,7.3,1997,0.439,0
Tariq Abdul-Wahad,SG,23,SAC,59,16,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2,0.9,0.6,0.2,1.1,1.4,6.4,1998,0.329,0
Derek Anderson,SF,23,CLE,66,13,27.9,3.6,8.9,0.408,0.3,1.3,0.202,3.4,7.6,0.442,0.422,4.2,4.8,0.873,0.8,2,2.8,3.4,1.3,0.2,1.9,2.1,11.7,1998,0.573,0
Chris Anstey,C,23,DAL,41,8,16.6,2.2,5.6,0.398,0.1,0.4,0.188,2.2,5.2,0.414,0.405,1.3,1.8,0.716,1.3,2.5,3.8,0.9,0.8,0.7,1,2.3,5.9,1998,0.244,0
Drew Barry,PG,24,ATL,27,0,9.5,0.7,1.4,0.474,0.3,0.8,0.429,0.3,0.6,0.529,0.592,0.4,0.5,0.846,0.2,1.1,1.3,1.8,0.4,0,1.1,1,2.1,1998,0.61,0
Tony Battie,PF,21,DEN,65,49,23.2,3.6,8.1,0.446,0,0.2,0.214,3.6,7.9,0.452,0.449,1.1,1.6,0.702,2.1,3.3,5.4,0.9,0.8,1.1,1.5,3.1,8.4,1998,0.134,0
Chauncey Billups,PG,21,TOR,29,26,31.7,3.6,10.2,0.349,1.5,4.7,0.316,2.1,5.5,0.377,0.422,2.7,3,0.919,0.8,1.9,2.7,3.3,1,0.1,1.9,1.9,11.3,1998,0.195,0
Etdrick Bohannon,PF,24,IND,5,0,2.2,0,0.8,0,0,0,,0,0.8,0,0,0,0,,0.4,0.8,1.2,0.2,0,0.4,0.6,0.6,0,1998,0.707,0
Keith Booth,SF,23,CHI,6,0,2.8,0.3,1,0.333,0,0.2,0,0.3,0.8,0.4,0.333,1,1,1,0.3,0.3,0.7,0.2,0,0,0.5,0.5,1.7,1998,0.756,0
Rick Brunson,PG,25,POR,38,10,16.4,1.3,3.7,0.348,0.6,1.6,0.361,0.7,2.1,0.338,0.426,1.1,1.6,0.677,0.4,1.1,1.5,2.6,0.7,0.1,1.4,1.4,4.3,1998,0.561,0
Kelvin Cato,C,23,POR,74,8,13.6,1.3,3.1,0.428,0,0,0,1.3,3.1,0.434,0.428,1.2,1.7,0.688,1.2,2.2,3.4,0.3,0.4,1.3,0.6,2.2,3.8,1998,0.561,0
Keith Closs,C,21,LAC,58,1,12.8,1.6,3.6,0.449,0,0,,1.6,3.6,0.449,0.449,0.8,1.3,0.597,1.1,1.8,2.9,0.3,0.2,1.4,0.7,1.3,4,1998,0.207,0
James Collins,SG,24,LAC,23,0,4.5,0.9,2.4,0.382,0.4,0.9,0.45,0.5,1.5,0.343,0.464,0.3,0.6,0.571,0.3,0.3,0.6,0.1,0.3,0.1,0.3,0.5,2.6,1998,0.207,0
James Cotton,SG,22,SEA,9,0,3.7,0.9,2.3,0.381,0,0.4,0,0.9,1.9,0.471,0.381,0.9,1,0.889,0.2,0.4,0.7,0,0.1,0.1,0.7,0.3,2.7,1998,0.744,0
Chris Crawford,PF,22,ATL,40,0,6.4,1.2,2.8,0.418,0,0.1,0.333,1.1,2.7,0.421,0.423,1.4,1.7,0.838,0.5,0.5,1,0.2,0.3,0.2,0.5,0.7,3.8,1998,0.61,0
Austin Croshere,PF,22,IND,26,0,9.3,1.2,3.3,0.372,0.2,0.5,0.308,1.1,2.8,0.384,0.395,0.3,0.5,0.571,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9,1998,0.707,0
William Cunningham,C,23,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,0,0,1998,0.378,0
Antonio Daniels,SG,22,VAN,74,50,26.4,3.1,7.4,0.416,0.1,0.7,0.212,2.9,6.7,0.438,0.426,1.5,2.3,0.659,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1.2,7.8,1998,0.232,0
Vinny Del Negro,SG,31,SAS,54,38,31.9,3.9,8.9,0.441,0.3,0.7,0.436,3.6,8.1,0.441,0.458,1.4,1.7,0.796,0.2,2.6,2.8,3.4,0.7,0.1,1,2.1,9.5,1998,0.683,0
Tim Duncan,PF,21,SAS,82,82,39.1,8.6,15.7,0.549,0,0.1,0,8.6,15.6,0.553,0.549,3.9,5.9,0.662,3.3,8.6,11.9,2.7,0.7,2.5,3.4,3.1,21.1,1998,0.683,0.9741
Tony Farmer,C,28,CHH,27,2,6.3,0.6,2,0.321,0.1,0.3,0.222,0.6,1.6,0.341,0.34,1.1,1.4,0.795,0.6,0.6,1.2,0.2,0.4,0.1,0.3,0.9,2.5,1998,0.5,0
Danny Fortson,PF,21,DEN,80,23,22.6,3.5,7.6,0.452,0,0,0.333,3.4,7.6,0.452,0.453,3.3,4.2,0.776,2.3,3.3,5.6,1,0.6,0.4,2,3.9,10.2,1998,0.134,0
Adonal Foyle,C,22,GSW,55,1,11.9,1.3,3.1,0.406,0,0,0,1.3,3.1,0.408,0.406,0.5,1.1,0.435,1.3,2,3.3,0.3,0.2,0.9,0.9,1.7,3,1998,0.232,0
Lawrence Funderburke,PF,27,SAC,52,1,21,3.7,7.5,0.49,0,0.1,0.143,3.7,7.4,0.496,0.491,2.1,3.1,0.679,1.5,3,4.5,1.2,0.4,0.3,1.2,1.1,9.5,1998,0.329,0
Chris Garner,PG,22,TOR,38,0,7.7,0.6,1.8,0.329,0.1,0.4,0.286,0.5,1.5,0.339,0.357,0.1,0.2,0.429,0.2,0.4,0.6,1.2,0.6,0.1,0.7,1.3,1.4,1998,0.195,0
Kiwane Lemorris Garris,SG,23,DEN,28,0,8,0.8,2.3,0.338,0.2,0.5,0.357,0.6,1.8,0.333,0.377,0.7,0.9,0.76,0.1,0.6,0.7,1,0.3,0,0.5,0.8,2.4,1998,0.134,0
Ed Gray,SG,22,ATL,30,3,15.7,2.6,6.7,0.381,0.6,1.5,0.391,2,5.2,0.378,0.426,1.8,2.2,0.846,0.3,1.2,1.5,1.1,0.5,0.4,1,2.4,7.6,1998,0.61,0
Derek Grimm,SF,23,SAC,9,0,3.8,0.4,1.6,0.286,0.4,1.3,0.333,0,0.2,0,0.429,0.2,0.2,1,0,0.4,0.4,0,0.3,0.1,0.3,0.7,1.6,1998,0.329,0
Reggie Hanson,SF,29,BOS,8,0,3.3,0.4,0.8,0.5,0,0,,0.4,0.8,0.5,0.5,0,0,,0.4,0.4,0.8,0.1,0.3,0.1,0.4,1,0.8,1998,0.439,0
Jerald Honeycutt,PF,23,MIL,38,0,13.9,2.4,5.8,0.407,0.8,2,0.377,1.6,3.8,0.424,0.473,0.9,1.5,0.621,0.7,1.7,2.4,0.9,0.5,0.2,1.3,2.2,6.4,1998,0.439,0
Troy Hudson,PG,21,UTA,8,0,2.9,0.8,1.8,0.429,0,0.4,0,0.8,1.4,0.545,0.429,0,0,,0.1,0.1,0.3,0.5,0.3,0,0.1,0.1,1.5,1998,0.756,0
Zydrunas Ilgauskas,C,22,CLE,82,81,29,5.5,10.7,0.518,0,0,0.25,5.5,10.6,0.519,0.519,2.8,3.7,0.762,3.4,5.4,8.8,0.9,0.6,1.6,1.8,3.5,13.9,1998,0.573,0
Bobby Jackson,PG,24,DEN,68,53,30,4.6,11.6,0.392,0.3,1.2,0.259,4.3,10.4,0.407,0.405,2.2,2.7,0.814,1.1,3.3,4.4,4.7,1.5,0.2,2.7,2.4,11.6,1998,0.134,0
Anthony Johnson,PG,23,SAC,77,62,29.4,2.9,7.9,0.371,0.5,1.7,0.328,2.4,6.2,0.383,0.406,1,1.4,0.727,0.7,1.6,2.2,4.3,0.8,0.1,1.6,2.4,7.5,1998,0.329,0
Dontae' Jones,SF,22,BOS,15,0,6.1,1.3,3.8,0.333,0.4,1.5,0.261,0.9,2.3,0.382,0.386,0,0,,0.2,0.4,0.6,0.3,0.1,0.2,0.7,0.8,2.9,1998,0.439,0
Brevin Knight,PG,22,CLE,80,76,31,3.3,7.4,0.441,0,0.1,0,3.3,7.3,0.446,0.441,2.5,3.1,0.801,0.8,2.3,3.2,8.2,2.5,0.2,2.4,3.4,9,1998,0.573,0
Toni Kukoč,SF,29,CHI,74,52,30.2,5.2,11.4,0.455,0.9,2.4,0.362,4.3,9,0.48,0.493,2.1,3,0.708,1.6,2.8,4.4,4.2,1,0.5,2.1,2,13.3,1998,0.756,0
Rusty LaRue,PG,24,CHI,14,0,10,1.4,3.5,0.408,0.3,1.1,0.25,1.1,2.4,0.485,0.449,0.4,0.6,0.625,0.1,0.5,0.6,0.4,0.2,0.1,0.4,0.9,3.5,1998,0.756,0
Jason Lawson,C,23,ORL,17,0,4.7,0.5,0.9,0.6,0,0,,0.5,0.9,0.6,0.6,0.5,0.6,0.8,0.5,1.1,1.6,0.3,0.2,0.2,0.1,0.8,1.5,1998,0.5,0
Michael McDonald,C,28,CHH,1,0,4,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,2,1,0,1998,0.5,0
Tracy McGrady,SF,18,TOR,64,17,18.4,2.8,6.2,0.45,0.2,0.6,0.341,2.6,5.6,0.462,0.467,1.2,1.7,0.712,1.6,2.6,4.2,1.5,0.8,1,1,1.3,7,1998,0.195,0
Ron Mercer,SG,21,BOS,80,62,33.3,6.4,14.3,0.45,0,0.4,0.107,6.4,14,0.458,0.451,2.4,2.8,0.839,1.4,2.1,3.5,2.2,1.6,0.2,1.7,2.7,15.3,1998,0.439,0
Marko Milič,SF,20,PHO,33,0,4.9,1.2,1.9,0.609,0.1,0.2,0.5,1.1,1.8,0.621,0.633,0.3,0.5,0.647,0.3,0.5,0.8,0.4,0.3,0,0.6,0.5,2.8,1998,0.683,0
Martin Müürsepp,PF,23,DAL,41,7,14.7,2,4.7,0.435,0.4,0.9,0.421,1.6,3.7,0.438,0.476,1.2,1.6,0.761,1.1,1.7,2.8,0.7,0.7,0.3,0.7,2.3,5.7,1998,0.244,0
Jeff Nordgaard,PF,24,MIL,13,0,3.7,0.4,1.4,0.278,0,0,,0.4,1.4,0.278,0.278,0.6,0.7,0.889,0.3,0.8,1.1,0.2,0.2,0,0.2,0.5,1.4,1998,0.439,0
Charles O'Bannon,SG,22,DET,30,0,7.8,0.9,2.3,0.377,0,0.1,0,0.9,2.2,0.394,0.377,0.4,0.5,0.8,0.5,0.6,1.1,0.6,0.3,0,0.3,0.5,2.1,1998,0.451,0
Kevin Ollie,PG,25,ORL,19,0,11.4,1.2,2.9,0.411,0,0.1,0,1.2,2.9,0.418,0.411,1.6,2.4,0.689,0.2,0.8,0.9,1.7,0.4,0,1.5,0.8,4.1,1998,0.5,0
Anthony Parker,SG,22,PHI,37,0,5.3,0.7,1.7,0.397,0.2,0.8,0.321,0.4,0.9,0.457,0.468,0.4,0.5,0.65,0.2,0.5,0.7,0.5,0.3,0.1,0.3,0.5,1.9,1998,0.378,0
Scot Pollard,C,22,DET,33,0,9.6,1.1,2.1,0.5,0,0,,1.1,2.1,0.5,0.5,0.6,0.7,0.826,1,1.2,2.2,0.3,0.2,0.3,0.4,1.5,2.7,1998,0.451,0
Mark Pope,SF,25,IND,28,0,6.9,0.5,1.5,0.341,0,0.1,0.333,0.5,1.4,0.342,0.354,0.4,0.6,0.588,0.3,0.6,0.9,0.3,0.1,0.2,0.4,1.3,1.4,1998,0.707,0
Rodrick Rhodes,SF,24,HOU,58,13,18.4,1.9,5.3,0.367,0,0.1,0.25,1.9,5.1,0.37,0.37,1.9,3.1,0.617,0.5,0.7,1.2,1.9,1.1,0.2,1.7,2.2,5.8,1998,0.5,0
Shea Seals,SG,22,LAL,4,0,2.3,0.3,2,0.125,0,0.8,0,0.3,1.3,0.2,0.125,0.5,1,0.5,0.8,0.3,1,0,0.3,0,0,0.3,1,1998,0.744,0
God Shammgod,PG,21,WAS,20,0,7.3,1,2.9,0.328,0,0.1,0,1,2.8,0.339,0.328,1.2,1.5,0.767,0.1,0.3,0.4,1.8,0.4,0.1,1.1,1.4,3.1,1998,0.512,0
Kebu Stewart,PF,24,PHI,15,0,7.3,0.8,1.7,0.462,0,0,,0.8,1.7,0.462,0.462,1.1,1.7,0.64,0.6,1.5,2.1,0.1,0.3,0.1,0.5,0.9,2.7,1998,0.378,0
Michael Stewart,C,22,SAC,81,37,21.7,1.9,4,0.48,0,0,,1.9,4,0.48,0.48,0.8,1.8,0.458,2.4,4.2,6.6,0.8,0.4,2.4,1,3.1,4.6,1998,0.329,0
Ed Stokes,C,26,TOR,4,0,4.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.333,0.3,0.5,0.5,0.3,0.8,1,0.3,0.3,0.5,0.5,1,0.8,1998,0.195,0
Žan Tabak,C,27,BOS,18,5,12.9,1.4,3.1,0.473,0,0,,1.4,3.1,0.473,0.473,0.4,0.7,0.538,1.4,1.8,3.2,0.7,0.3,0.6,0.9,2.6,3.3,1998,0.439,0
Johnny Taylor,SF,23,ORL,12,0,9,1.1,3.1,0.351,0.1,0.2,0.5,1,2.9,0.343,0.365,0.9,1.3,0.688,0.3,0.8,1.1,0.1,0.3,0.2,0.7,1.8,3.2,1998,0.5,0
Maurice Taylor,PF,21,LAC,71,3,21.3,4.5,9.5,0.476,0,0,0,4.5,9.5,0.476,0.476,2.4,3.4,0.709,1.7,2.5,4.2,0.7,0.5,0.6,1.5,3.1,11.5,1998,0.207,0
John Thomas,PF,22,TOR,21,0,8,0.7,1.6,0.424,0,0,,0.7,1.6,0.424,0.424,0.7,1,0.714,0.8,1,1.7,0.2,0.1,0.1,0.6,1.5,2,1998,0.195,0
Tim Thomas,SF,20,PHI,77,48,23.1,4,8.9,0.447,0.8,2.2,0.363,3.2,6.7,0.476,0.493,2.2,3,0.74,1.4,2.4,3.7,1.2,0.7,0.2,1.5,2.4,11,1998,0.378,0
Nick Van Exel,PG,26,LAL,64,46,32.1,4.9,11.6,0.419,1.9,4.9,0.389,2.9,6.7,0.44,0.501,2.1,2.7,0.791,0.5,2.5,3,6.9,1,0.1,1.6,1.9,13.8,1998,0.744,0
Keith Van Horn,PF,22,NJN,62,62,37.5,7.2,16.9,0.426,1.1,3.6,0.308,6.1,13.3,0.458,0.459,4.2,4.9,0.846,2.3,4.3,6.6,1.7,1,0.4,2.6,3.5,19.7,1998,0.524,0.0259
Jacque Vaughn,PG,22,UTA,45,0,9.3,1,2.7,0.361,0.1,0.2,0.375,0.9,2.5,0.36,0.373,1.1,1.5,0.706,0.1,0.8,0.8,1.9,0.2,0,1.2,1.4,3.1,1998,0.756,0
Stojko Vranković,C,34,LAC,65,38,15.3,1.2,2.9,0.425,0,0,,1.2,2.9,0.425,0.425,0.6,1,0.569,1.1,3,4,0.6,0.2,1,0.7,2,3,1998,0.207,0
Eric Washington,SG,23,DEN,66,36,23.3,3,7.5,0.404,0.7,2.1,0.321,2.4,5.5,0.435,0.448,1,1.3,0.783,0.7,1.2,1.9,1.2,0.8,0.4,1.1,2.2,7.7,1998,0.134,0
Bubba Wells,SG,23,DAL,39,2,10.1,1.2,3,0.414,0,0.2,0.167,1.2,2.8,0.427,0.418,0.8,1.1,0.721,0.6,1.2,1.7,0.9,0.4,0.1,0.8,1,3.3,1998,0.244,0
DeJuan Wheat,PG,24,MIN,34,0,4.4,0.6,1.5,0.4,0.2,0.5,0.471,0.4,1,0.364,0.48,0.3,0.4,0.6,0.1,0.2,0.3,0.7,0.2,0,0.3,0.4,1.7,1998,0.549,0
Alvin Williams,SG,23,TOR,13,3,15.9,1.2,3.4,0.364,0.2,0.3,0.5,1.1,3.1,0.35,0.386,0.5,0.8,0.636,0.4,1.2,1.6,1.5,0.6,0.1,0.6,1.5,3.2,1998,0.195,0
Brandon Williams,SG,22,GSW,9,2,15.6,1.8,5.6,0.32,0.3,1,0.333,1.4,4.6,0.317,0.35,0.2,0.4,0.5,0.4,1.2,1.7,0.3,0.7,0.3,1,2,4.1,1998,0.232,0
Hot Rod Williams,C,35,PHO,71,30,18.8,1.3,2.8,0.47,0,0,,1.3,2.8,0.47,0.47,0.9,1.3,0.699,1.5,2.9,4.4,0.7,0.5,0.8,0.4,1.9,3.6,1998,0.683,0
Travis Williams,SF,28,CHH,39,0,9.4,1.4,3.1,0.471,0,0,0,1.4,3,0.475,0.471,0.6,1.2,0.522,1.4,1,2.4,0.5,0.5,0.1,0.8,1.4,3.5,1998,0.5,0
George Zídek,C,24,SEA,6,0,3.7,0.5,2.3,0.214,0.2,0.3,0.5,0.3,2,0.167,0.25,0.7,0.7,1,0,0.7,0.7,0.2,0,0,0.2,0.8,1.8,1998,0.744,0
Peter Aluma,C,25,SAC,2,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,1,2,1,1999,0.54,0
Mark Baker,PG,29,TOR,1,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,1999,0.46,0
Mike Bibby,PG,20,VAN,50,50,35.2,5.2,12.1,0.43,0.3,1.5,0.203,4.9,10.6,0.461,0.442,2.5,3.4,0.751,0.6,2.1,2.7,6.5,1.6,0.1,2.9,2.4,13.2,1999,0.16,0
Earl Boykins,PG,22,CLE,17,0,10,1.2,3.4,0.345,0.1,0.8,0.154,1.1,2.6,0.4,0.362,0.1,0.2,0.667,0.4,0.4,0.8,1.6,0.3,0,0.8,1,2.6,1999,0.44,0
Gerald Brown,SG,23,PHO,33,0,7.2,1,2.7,0.371,0.1,0.3,0.3,0.9,2.4,0.38,0.388,0.3,0.4,0.786,0.2,0.5,0.7,0.9,0.2,0,0.7,0.6,2.4,1999,0.54,0
Cory Carr,SG,23,CHI,42,7,14.9,1.7,5.1,0.329,0.1,0.7,0.167,1.6,4.4,0.355,0.34,0.6,0.8,0.75,0.2,1,1.2,1.6,0.5,0.2,1.1,1.6,4.1,1999,0.26,0
Vince Carter,SF,22,TOR,50,49,35.2,6.9,15.3,0.45,0.4,1.3,0.288,6.5,14,0.466,0.463,4.1,5.4,0.761,1.9,3.8,5.7,3,1.1,1.5,2.2,2.8,18.3,1999,0.46,0.9576
Keon Clark,C,23,DEN,28,0,14.6,1.3,2.9,0.45,0,0,0,1.3,2.8,0.456,0.45,0.8,1.3,0.568,1.3,2.1,3.4,0.4,0.4,1.1,0.8,1.9,3.3,1999,0.28,0
Kornél Dávid,SF,27,CHI,50,6,18,2.2,4.9,0.449,0,0,0,2.2,4.8,0.45,0.449,1.8,2.2,0.811,1.4,2.1,3.5,0.8,0.5,0.3,1,1.8,6.2,1999,0.26,0
Ricky Davis,SG,19,CHH,46,1,12.1,1.8,4.3,0.405,0,0.3,0.167,1.7,4.1,0.42,0.41,1,1.3,0.763,0.9,1,1.8,1.3,0.7,0.2,1.2,1,4.5,1999,0.5,0
Michael Dickerson,SG,23,HOU,50,50,31.2,4.3,9.2,0.465,1.4,3.3,0.433,2.9,6,0.483,0.542,0.9,1.4,0.639,0.5,1.1,1.7,1.9,0.5,0.2,1.3,1.8,10.9,1999,0.62,0
Michael Doleac,C,21,ORL,49,0,15.9,2.6,5.4,0.468,0,0,,2.6,5.4,0.468,0.468,1.1,1.6,0.675,1.3,1.7,3,0.4,0.4,0.3,0.5,2.4,6.2,1999,0.66,0
Bryce Drew,PG,24,HOU,34,0,13,1.4,3.8,0.364,0.5,1.4,0.327,0.9,2.4,0.388,0.426,0.2,0.2,1,0.1,0.9,0.9,1.5,0.4,0.1,0.9,1.8,3.5,1999,0.62,0
Marlon Garnett,PG,23,BOS,24,0,8.5,0.6,2.1,0.294,0.3,1,0.261,0.4,1.2,0.321,0.353,0.6,0.8,0.75,0.1,0.8,0.9,0.8,0.2,0,0.5,0.8,2.1,1999,0.38,0
Pat Garrity,PF,22,PHO,39,9,13.8,2.2,4.4,0.5,0.2,0.5,0.389,2,3.9,0.513,0.521,1,1.4,0.714,0.7,1.3,1.9,0.5,0.2,0.1,0.5,1.6,5.6,1999,0.54,0
Paul Grant,C,25,MIL,2,0,2.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0,0,,0,0,0,0,0.5,0,0.5,0,1,1999,0.56,0
Matt Harpring,SF,22,ORL,50,22,22.3,3,6.4,0.463,0.2,0.5,0.4,2.8,5.9,0.468,0.478,2,2.9,0.713,1.8,2.5,4.3,0.9,0.6,0.1,1.5,2.2,8.2,1999,0.66,0
Al Harrington,PF,18,IND,21,0,7.6,0.9,2.7,0.321,0,0.2,0,0.9,2.4,0.353,0.321,0.4,0.7,0.6,1,0.9,1.9,0.2,0.2,0.1,0.5,1.2,2.1,1999,0.66,0
